application_id,gender,international,gpa,major,race,gmat,work_exp,work_industry,admission,work_exp_group,gmat_group,gpa_group
1,Female,False,3.3,Business,Asian,620.0,3.0,Financial Services,Admit,1-3 years,600–649,3.25–3.49
2,Male,False,3.28,Humanities,Black,680.0,5.0,Investment Management,Deny,4-6 years,650–699,3.25–3.49
3,Female,True,3.3,Business,International,710.0,5.0,Technology,Admit,4-6 years,700–749,3.25–3.49
4,Male,False,3.47,STEM,Black,690.0,6.0,Technology,Deny,4-6 years,650–699,3.25–3.49
5,Male,False,3.35,STEM,Hispanic,590.0,5.0,Consulting,Deny,4-6 years,550–599,3.25–3.49
6,Male,False,3.18,Business,White,610.0,6.0,Consulting,Deny,4-6 years,600–649,3.00–3.24
7,Female,False,2.93,STEM,Other,590.0,3.0,Technology,Admit,1-3 years,550–599,2.75–2.99
8,Male,True,3.02,Business,International,630.0,6.0,Financial Services,Deny,4-6 years,600–649,3.00–3.24
9,Male,False,3.24,Business,White,590.0,2.0,Nonprofit/Gov,Deny,1-3 years,550–599,3.00–3.24
10,Male,False,3.27,Humanities,Asian,690.0,3.0,Consulting,Deny,1-3 years,650–699,3.25–3.49
11,Male,False,3.05,Humanities,White,580.0,5.0,Technology,Deny,4-6 years,550–599,3.00–3.24
12,Male,True,2.85,Humanities,International,580.0,4.0,PE/VC,Deny,4-6 years,550–599,2.75–2.99
13,Female,False,3.24,Humanities,Hispanic,640.0,6.0,PE/VC,Waitlist,4-6 years,600–649,3.00–3.24
14,Female,False,3.39,Business,Black,690.0,4.0,Nonprofit/Gov,Deny,4-6 years,650–699,3.25–3.49
15,Female,False,3.03,STEM,White,600.0,5.0,Technology,Admit,4-6 years,550–599,3.00–3.24
16,Female,True,3.05,Humanities,International,710.0,4.0,Consulting,Admit,4-6 years,700–749,3.00–3.24
17,Female,False,3.32,Business,Asian,710.0,5.0,PE/VC,Admit,4-6 years,700–749,3.25–3.49
18,Male,False,3.23,Humanities,Black,700.0,4.0,Health Care,Deny,4-6 years,650–699,3.00–3.24
19,Male,False,3.13,Humanities,White,630.0,6.0,Financial Services,Deny,4-6 years,600–649,3.00–3.24
20,Male,True,3.09,Business,International,670.0,8.0,Consulting,Deny,7+ years,650–699,3.00–3.24
21,Male,False,3.46,Business,White,760.0,5.0,Investment Banking,Admit,4-6 years,750–800,3.25–3.49
22,Female,False,3.64,Humanities,Black,710.0,6.0,Financial Services,Deny,4-6 years,700–749,3.50–3.74
23,Female,True,3.42,Business,International,640.0,6.0,Consulting,Admit,4-6 years,600–649,3.25–3.49
24,Male,False,3.4,Business,White,680.0,6.0,PE/VC,Deny,4-6 years,650–699,3.25–3.49
25,Female,False,3.47,STEM,White,710.0,5.0,Consulting,Admit,4-6 years,700–749,3.25–3.49
26,Male,False,3.26,Humanities,Asian,690.0,5.0,Technology,Admit,4-6 years,650–699,3.25–3.49
27,Male,True,2.99,STEM,International,640.0,5.0,Consulting,Deny,4-6 years,600–649,2.75–2.99
28,Male,False,3.39,STEM,Other,730.0,4.0,Other,Deny,4-6 years,700–749,3.25–3.49
29,Male,False,3.08,Business,Asian,570.0,7.0,Retail,Deny,7+ years,550–599,3.00–3.24
30,Male,True,3.65,STEM,International,700.0,5.0,Consulting,Admit,4-6 years,650–699,3.50–3.74
31,Male,True,3.04,STEM,International,610.0,4.0,Consulting,Deny,4-6 years,600–649,3.00–3.24
32,Male,False,3.19,Humanities,White,580.0,5.0,PE/VC,Deny,4-6 years,550–599,3.00–3.24
33,Male,False,3.33,Humanities,Black,700.0,6.0,Investment Banking,Deny,4-6 years,650–699,3.25–3.49
34,Female,False,3.53,STEM,White,710.0,5.0,Consulting,Admit,4-6 years,700–749,3.50–3.74
35,Male,False,3.5,Business,White,650.0,7.0,Consulting,Deny,7+ years,600–649,3.25–3.49
36,Male,True,3.22,Humanities,International,670.0,4.0,Other,Deny,4-6 years,650–699,3.00–3.24
37,Male,False,3.5,STEM,Hispanic,720.0,5.0,Health Care,Deny,4-6 years,700–749,3.25–3.49
38,Female,False,3.16,STEM,Black,590.0,4.0,Investment Management,Deny,4-6 years,550–599,3.00–3.24
39,Female,False,3.3,Humanities,Asian,740.0,6.0,Investment Banking,Admit,4-6 years,700–749,3.25–3.49
40,Female,False,3.45,Humanities,Asian,640.0,3.0,PE/VC,Admit,1-3 years,600–649,3.25–3.49
41,Female,True,3.12,Business,International,610.0,4.0,PE/VC,Admit,4-6 years,600–649,3.00–3.24
42,Female,True,3.41,Business,International,600.0,7.0,Nonprofit/Gov,Admit,7+ years,550–599,3.25–3.49
43,Male,False,3.38,Humanities,Asian,720.0,5.0,Consulting,Deny,4-6 years,700–749,3.25–3.49
44,Female,False,2.93,Humanities,Other,590.0,4.0,Consulting,Admit,4-6 years,550–599,2.75–2.99
45,Male,False,3.27,STEM,Other,650.0,5.0,Consulting,Deny,4-6 years,600–649,3.25–3.49
46,Male,False,3.32,STEM,Asian,730.0,4.0,Health Care,Deny,4-6 years,700–749,3.25–3.49
47,Male,True,3.13,Humanities,International,610.0,5.0,PE/VC,Deny,4-6 years,600–649,3.00–3.24
48,Male,False,3.33,STEM,Hispanic,720.0,7.0,Consulting,Admit,7+ years,700–749,3.25–3.49
49,Male,False,3.23,STEM,Black,660.0,6.0,Other,Deny,4-6 years,650–699,3.00–3.24
50,Male,False,3.38,STEM,Hispanic,680.0,5.0,Consulting,Deny,4-6 years,650–699,3.25–3.49
51,Male,False,3.26,Business,White,670.0,6.0,Consulting,Waitlist,4-6 years,650–699,3.25–3.49
52,Male,False,3.43,Business,Asian,650.0,4.0,Nonprofit/Gov,Deny,4-6 years,600–649,3.25–3.49
53,Male,False,3.19,Business,White,650.0,5.0,Financial Services,Deny,4-6 years,600–649,3.00–3.24
54,Female,False,3.23,STEM,Asian,700.0,6.0,PE/VC,Admit,4-6 years,650–699,3.00–3.24
55,Male,False,2.96,STEM,Black,610.0,6.0,Consulting,Deny,4-6 years,600–649,2.75–2.99
56,Female,False,3.44,STEM,Black,680.0,4.0,PE/VC,Deny,4-6 years,650–699,3.25–3.49
57,Male,False,3.09,Business,Other,610.0,6.0,Consulting,Deny,4-6 years,600–649,3.00–3.24
58,Female,True,3.05,Business,International,650.0,7.0,Health Care,Admit,7+ years,600–649,3.00–3.24
59,Male,True,3.01,Humanities,International,660.0,6.0,Consulting,Deny,4-6 years,650–699,3.00–3.24
60,Male,False,3.41,Humanities,White,740.0,4.0,Financial Services,Deny,4-6 years,700–749,3.25–3.49
61,Female,False,3.27,Business,White,670.0,5.0,Consulting,Admit,4-6 years,650–699,3.25–3.49
62,Male,False,3.13,Humanities,Black,630.0,5.0,Financial Services,Deny,4-6 years,600–649,3.00–3.24
63,Female,True,3.0,STEM,International,640.0,3.0,Financial Services,Admit,1-3 years,600–649,2.75–2.99
64,Male,False,3.36,STEM,Black,650.0,5.0,Technology,Deny,4-6 years,600–649,3.25–3.49
65,Female,False,3.39,Humanities,White,680.0,5.0,Investment Banking,Admit,4-6 years,650–699,3.25–3.49
66,Male,True,3.31,Business,International,670.0,4.0,Nonprofit/Gov,Deny,4-6 years,650–699,3.25–3.49
67,Male,False,3.07,STEM,Other,570.0,6.0,Other,Deny,4-6 years,550–599,3.00–3.24
68,Male,False,3.53,STEM,White,690.0,5.0,Technology,Deny,4-6 years,650–699,3.50–3.74
69,Male,False,3.49,Business,Black,620.0,4.0,Energy,Deny,4-6 years,600–649,3.25–3.49
70,Male,False,3.41,Humanities,White,690.0,6.0,Technology,Admit,4-6 years,650–699,3.25–3.49
71,Male,True,3.34,STEM,International,690.0,5.0,Nonprofit/Gov,Deny,4-6 years,650–699,3.25–3.49
72,Female,False,3.33,Humanities,Hispanic,680.0,5.0,Consulting,Waitlist,4-6 years,650–699,3.25–3.49
73,Female,True,3.34,STEM,International,680.0,5.0,PE/VC,Admit,4-6 years,650–699,3.25–3.49
74,Female,True,2.89,Humanities,International,670.0,5.0,Consulting,Admit,4-6 years,650–699,2.75–2.99
75,Female,True,3.35,Business,International,640.0,5.0,PE/VC,Admit,4-6 years,600–649,3.25–3.49
